state_abbr,parent_city,child_submarket,market_name,slug,code
CA,San Gabriel Valley,East,San Gabriel Valley-East,san-gabriel-valley-east,634
GA,Atlanta Airport,South,Atlanta Airport-South,atlanta-airport-south,602
IL,I,88 East West Corridor,I-88 East West Corridor,i-88-east-west-corridor,2171
MO,St. Louis,Carr Square,St. Louis-Carr Square,st-louis-carr-square,1829
MO,St. Louis,Chouteau,St. Louis-Chouteau,st-louis-chouteau,1837
MO,St. Louis,Civic Center,St. Louis-Civic Center,st-louis-civic-center,1834
MO,St. Louis,Columbus Square,St. Louis-Columbus Square,st-louis-columbus-square,1830
MO,St. Louis,Cupples Station/Ballpark,St. Louis-Cupples Station/Ballpark,st-louis-cupples-station-ballpark,1835
MO,St. Louis,Downtown West,St. Louis-Downtown West,st-louis-downtown-west,1831
MO,St. Louis,Garment District,St. Louis-Garment District,st-louis-garment-district,1833
MO,St. Louis,MidTown,St. Louis-MidTown,st-louis-midtown,1838
MO,St. Louis,Old North,St. Louis-Old North,st-louis-old-north,1839
MO,St. Louis,Riverside North,St. Louis-Riverside North,st-louis-riverside-north,1836
NC,Winston,Salem,Winston-Salem,winston-salem,2208
TX,Mid,Cities,Mid-Cities,mid-cities,1122
VA,I,395 Corridor,I-395 Corridor,i-395-corridor,1440